,delta 0,delta 1,delta 2,delta 3,delta 4,delta 5,total
0,0,66,41,39,28,34,208
1,0,17,6,7,0,0,30
2,0,6,6,4,6,1,23
3,0,2,1,4,1,0,8
4,0,5,1,1,4,1,12
5,0,8,3,3,3,4,21
6,0,9,3,4,4,4,24
7,0,6,2,0,2,1,11
8,0,4,2,1,2,2,11
9,0,4,1,2,2,1,10
10,0,5,4,2,0,4,15
11,0,6,1,3,0,1,11
12,0,7,1,0,1,1,10
13,0,4,3,1,0,0,8
14,0,4,1,2,0,1,8
15,0,7,2,2,2,1,14
16,0,3,4,0,2,1,10
17,0,4,2,2,0,1,9
18,0,5,1,1,3,0,10
19,0,2,0,1,1,1,5
20,0,5,5,2,1,2,15
21,0,2,1,0,2,1,6
22,0,2,3,0,1,0,6
23,0,6,2,0,0,1,9
24,0,1,1,0,0,1,3
25,0,4,3,0,0,1,8
26,0,1,4,1,1,1,8
27,0,0,2,1,0,2,5
28,0,3,5,0,1,1,10
29,0,0,1,1,4,1,7
30,0,0,0,5,0,0,5
31,0,0,2,0,2,1,5
32,0,1,0,1,1,3,6
33,0,0,2,0,1,3,6
34,0,0,3,2,2,0,7
35,0,0,1,1,0,0,2
36,0,0,0,1,1,0,2
37,0,0,2,0,2,0,4
38,0,0,2,3,0,1,6
39,0,0,2,1,1,0,4
40,0,0,1,0,1,0,2
41,0,0,5,1,1,2,9
42,0,0,2,1,1,0,4
43,0,0,2,3,1,3,9
44,0,0,2,1,0,0,3
45,0,0,2,0,0,0,2
46,0,0,3,1,2,3,9
47,0,0,5,1,2,0,8
48,0,0,6,1,2,2,11
49,0,0,1,1,1,2,5
50,0,0,2,2,1,0,5
51,0,0,3,1,0,0,4
52,0,0,3,3,0,0,6
53,0,0,1,2,0,0,3
54,0,0,6,1,2,2,11
55,0,0,1,2,3,0,6
56,0,0,1,1,0,0,2
57,0,0,3,0,4,0,7
58,0,0,2,0,3,0,5
59,0,0,0,2,2,1,5
60,0,0,0,2,1,2,5
61,0,0,1,1,1,2,5
62,0,0,1,1,0,1,3
63,0,0,0,1,1,1,3
64,0,0,1,0,2,1,4
65,0,0,2,1,1,0,4
66,0,0,1,0,0,0,1
67,0,0,0,0,2,3,5
68,0,0,0,2,0,1,3
69,0,0,1,2,0,1,4
70,0,0,0,1,1,0,2
71,0,0,1,1,1,2,5
72,0,0,0,1,2,3,6
73,0,0,0,2,4,0,6
74,0,0,2,3,4,2,11
75,0,0,0,6,0,1,7
76,0,0,1,2,4,2,9
77,0,0,1,5,0,0,6
78,0,0,0,2,2,1,5
79,0,0,0,0,2,3,5
80,0,0,0,0,1,2,3
81,0,0,0,3,2,2,7
82,0,0,0,3,1,1,5
83,0,0,0,1,1,2,4
84,0,0,0,4,5,2,11
85,0,0,0,1,2,3,6
86,0,0,0,0,4,1,5
87,0,0,0,2,2,2,6
88,0,0,0,1,2,2,5
89,0,0,0,2,4,3,9
90,0,0,0,4,3,3,10
91,0,0,0,4,5,1,10
92,0,0,0,1,3,1,5
93,0,0,0,0,2,0,2
94,0,0,0,0,2,1,3
95,0,0,0,0,1,4,5
96,0,0,0,1,2,5,8
97,0,0,0,3,2,2,7
98,0,0,0,2,2,4,8
99,0,0,0,3,1,2,6
100,0,0,0,1,2,0,3
101,0,0,0,1,2,1,4
102,0,0,0,0,1,2,3
103,0,0,0,0,1,0,1
104,0,0,0,1,0,4,5
105,0,0,0,1,1,3,5
106,0,0,0,0,2,1,3
107,0,0,0,0,2,1,3
108,0,0,0,0,0,2,2
109,0,0,0,0,2,1,3
110,0,0,0,0,3,0,3
111,0,0,0,1,1,2,4
112,0,0,0,0,0,1,1
114,0,0,0,1,0,2,3
115,0,0,0,1,1,3,5
116,0,0,0,0,2,2,4
117,0,0,0,0,0,1,1
119,0,0,0,0,1,0,1
120,0,0,0,0,0,2,2
121,0,0,0,0,2,0,2
122,0,0,0,0,1,2,3
123,0,0,0,0,2,0,2
125,0,0,0,0,2,0,2
126,0,0,0,0,1,0,1
128,0,0,0,0,1,0,1
129,0,0,0,0,0,2,2
133,0,0,0,0,1,1,2
134,0,0,0,0,0,1,1
135,0,0,0,0,1,2,3
138,0,0,0,0,0,1,1
150,0,0,0,0,1,0,1
154,0,0,0,0,1,0,1
156,0,0,0,0,1,0,1
